id,host_id,host_name,host_is_superhost,host_identity_verified,latitude,longitude,neighbourhood_cleansed,price,property_type,room_type,accommodates,bedrooms,bathrooms,square_feet,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,review_scores_rating,availability_365,number_of_reviews,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification
35484494,16527007,Tijmen,f,f,52.36434,4.85274,De Baarsjes - Oud-West,$150.00,Apartment,Entire home/apt,2,1,1.5,,,,1,$0.00,2,1125,90,65,2,f,flexible,f,f
35486549,76104209,Rated,f,f,52.37727,4.89918,Centrum-West,$500.00,Apartment,Entire home/apt,4,2,1,,$0.00,$200.00,1,$0.00,7,1125,,364,0,f,strict_14_with_grace_period,f,f
35488055,1137563,Sudhakar,f,f,52.32565,4.86255,Buitenveldert - Zuidas,$150.00,House,Entire home/apt,4,2,1.5,,$200.00,$25.00,4,$50.00,2,5,100,0,7,f,flexible,f,f
35489703,266999310,Desiree,f,f,52.34295,4.91208,De Pijp - Rivierenbuurt,$150.00,Apartment,Entire home/apt,2,1,1,,$250.00,$40.00,2,$0.00,2,1125,80,21,1,f,strict_14_with_grace_period,f,f
35492515,68580211,Aziz,f,f,52.30654,4.97665,Gaasperdam - Driemond,$125.00,Apartment,Private room,2,1,1,,,,1,$0.00,2,1125,100,0,2,t,moderate,f,f
35498622,44054328,Klimis,f,f,52.36848,4.92267,Centrum-Oost,$125.00,Apartment,Entire home/apt,2,1,1,,$0.00,$20.00,1,$0.00,3,1125,100,8,1,f,moderate,f,f
35499073,119171038,Tomaz,f,f,52.37565,4.89547,Centrum-West,$136.00,Apartment,Entire home/apt,2,1,1,,,,1,$0.00,3,1125,90,6,2,t,strict_14_with_grace_period,f,f
35503574,8257544,Jan-Pieter,f,t,52.35713,4.91329,Oud-Oost,$150.00,Apartment,Entire home/apt,2,0,1,,$0.00,$40.00,1,$0.00,2,1125,,81,0,f,moderate,f,f
35504002,19523378,Carlet,f,t,52.36374,4.90076,Centrum-Oost,$180.00,Apartment,Private room,2,1,1,,,$5.00,1,$0.00,1,3,100,3,2,f,flexible,f,f
35504958,2969256,Rieneke,f,f,52.36927,4.92321,Centrum-Oost,$190.00,Apartment,Entire home/apt,3,2,1,,$500.00,$50.00,1,$0.00,4,1125,93,0,3,f,flexible,f,f
35505451,78786865,Maarten,f,f,52.361,4.86631,De Baarsjes - Oud-West,$375.00,Apartment,Entire home/apt,4,3,1.5,,$0.00,$70.00,1,$0.00,3,1125,80,0,1,f,strict_14_with_grace_period,f,f
35507173,14831897,Chris,f,t,52.37021,4.87349,De Baarsjes - Oud-West,$161.00,Apartment,Entire home/apt,2,1,1.5,,$0.00,$30.00,1,$0.00,2,40,100,47,2,t,flexible,f,f
35512028,5412054,Deborah,f,t,52.37196,4.93154,Centrum-Oost,$170.00,Apartment,Entire home/apt,2,1,1,,,,1,$0.00,2,2,,75,0,t,flexible,f,f
35513152,29136151,Yael,f,t,52.34123,4.86827,Buitenveldert - Zuidas,$840.00,House,Entire home/apt,7,4,2.5,,,$180.00,1,$0.00,3,14,100,17,3,t,strict_14_with_grace_period,f,f
35515428,12626532,Erik,f,t,52.35734,4.92429,Oud-Oost,$125.00,Apartment,Entire home/apt,4,2,1.5,,$0.00,$25.00,1,$0.00,2,7,90,7,2,f,flexible,f,f
35516995,260974033,Dave,f,f,52.33882,4.92596,Watergraafsmeer,$88.00,Apartment,Entire home/apt,2,1,1,,$100.00,$30.00,1,$10.00,4,1125,90,15,2,t,strict_14_with_grace_period,f,f
35527781,26945175,Jan,f,t,52.36443,4.93205,Oostelijk Havengebied - Indische Buurt,$170.00,Apartment,Entire home/apt,4,2,1.5,,$0.00,$50.00,2,$20.00,3,1125,,0,0,f,strict_14_with_grace_period,f,f
35528995,31302352,Willemijn,f,f,52.36339,4.83732,Slotervaart,$72.00,Apartment,Entire home/apt,2,1,1,,,,1,$0.00,20,29,100,0,1,f,strict_14_with_grace_period,f,f
35529083,23683151,Gabrielle,f,t,52.35094,4.85849,Zuid,$150.00,Apartment,Entire home/apt,2,1,1.5,,$0.00,$35.00,1,$0.00,1,8,100,25,3,f,moderate,f,f
35529541,16482521,Henk,f,f,52.36275,4.97525,IJburg - Zeeburgereiland,$110.00,House,Entire home/apt,4,3,2.5,,$0.00,$60.00,1,$0.00,5,31,,97,0,t,strict_14_with_grace_period,f,f
35536782,27411516,Eline,f,f,52.34693,5.00494,IJburg - Zeeburgereiland,$85.00,Townhouse,Private room,2,1,1.5,,$500.00,$20.00,1,$0.00,2,7,100,154,2,t,flexible,f,f
35537798,13172622,David,f,f,52.36698,4.86124,De Baarsjes - Oud-West,$200.00,Apartment,Entire home/apt,2,1,1,,$0.00,$32.00,1,$0.00,2,27,,19,0,f,flexible,f,f
35538022,267329034,Pamela,f,f,52.37258,4.93668,Oostelijk Havengebied - Indische Buurt,$99.00,Apartment,Private room,2,1,1.5,,$300.00,$20.00,1,$0.00,1,7,94,55,14,f,moderate,f,f
35540170,2780506,Claudia,f,t,52.35277,4.85058,Zuid,$275.00,Apartment,Entire home/apt,4,3,1,,$0.00,$50.00,1,$0.00,2,1125,100,13,1,f,flexible,f,f
35543474,62656278,Chip,f,f,52.34992,4.9124,Oud-Oost,$200.00,Apartment,Entire home/apt,2,1,0.5,,$250.00,$30.00,1,$0.00,2,7,100,29,3,f,moderate,f,f
35544201,267421188,Sebastiaan & Mandy,f,f,52.37369,4.88865,Centrum-West,$303.00,House,Entire home/apt,4,2,1,,$300.00,$45.00,1,$0.00,2,1125,93,18,3,f,moderate,f,f
35556008,18415623,Appie & Babette,t,t,52.34927,4.7732,De Aker - Nieuw Sloten,$60.00,Apartment,Entire home/apt,2,0,1.5,,,,1,$0.00,3,1125,94,27,7,t,moderate,f,f
35561628,267544946,Paula,f,f,52.36313,4.86206,De Baarsjes - Oud-West,$145.00,Apartment,Entire home/apt,2,1,1,,$0.00,$40.00,2,$40.00,1,1125,100,70,2,t,strict_14_with_grace_period,f,f
35565404,267534102,Cathy,f,f,52.36462,4.89626,Centrum-Oost,$131.00,Apartment,Entire home/apt,3,1,1,,$0.00,$90.00,2,$40.00,3,1125,83,0,8,f,strict_14_with_grace_period,f,f
35570381,267629155,Manuel,f,f,52.37893,4.88641,Centrum-West,$150.00,Apartment,Entire home/apt,2,1,1,,$100.00,$50.00,2,$100.00,2,30,96,0,9,f,flexible,f,f
35572139,80890440,Sirano,f,f,52.34237,4.90925,De Pijp - Rivierenbuurt,$160.00,Apartment,Entire home/apt,2,1,1,,$0.00,$30.00,1,$0.00,2,5,100,0,1,f,flexible,f,f
35574976,6579542,Stefania,f,t,52.37615,4.87932,Centrum-West,$220.00,Apartment,Entire home/apt,2,1,1,,$0.00,$50.00,1,$0.00,3,1125,100,104,2,f,moderate,f,f
35576368,171754520,Malgorzata,f,f,52.36173,4.88913,Centrum-Oost,$150.00,Apartment,Entire home/apt,2,0,1,,,,1,$0.00,3,1125,93,92,3,f,strict_14_with_grace_period,f,f
35589996,267773333,Mart,f,f,52.34076,4.90659,De Pijp - Rivierenbuurt,$90.00,Apartment,Private room,2,1,1,,$0.00,$15.00,1,$0.00,2,60,100,93,3,f,strict_14_with_grace_period,f,f
35590601,47770842,Sven,f,f,52.38064,4.97325,Noord-Oost,$180.00,Boat,Private room,4,2,1,,$0.00,$50.00,1,$5.00,1,1125,,274,0,t,strict_14_with_grace_period,f,f
35592254,25940923,Marvin,f,t,52.3646,4.88117,Centrum-Oost,$240.00,Apartment,Entire home/apt,4,1,1,,$0.00,$0.00,2,$40.00,2,1125,90,1,2,f,flexible,f,f
35592652,8262925,Phillip,f,t,52.37053,4.87551,Centrum-West,$100.00,Apartment,Entire home/apt,3,1,1,,$100.00,$25.00,1,$0.00,2,1125,100,35,1,f,flexible,f,f
35595672,10503334,Caspar,f,t,52.37391,4.86714,Westerpark,$150.00,Apartment,Entire home/apt,2,1,1,,,$40.00,1,$0.00,1,1125,100,16,8,t,strict_14_with_grace_period,f,f
35595937,265253303,Jeroen,f,f,52.3441,4.86794,Zuid,$195.00,Apartment,Entire home/apt,4,2,1,,$250.00,$75.00,2,$30.00,3,1125,100,9,4,t,flexible,f,f
35604191,134450922,Kristine,f,f,52.40011,4.94501,Noord-Oost,$90.00,Condominium,Private room,1,1,1.5,,$100.00,$20.00,1,$30.00,3,1125,100,92,5,f,moderate,f,f
35604367,239538577,Linda,f,f,52.37007,4.88049,Centrum-West,$220.00,Apartment,Entire home/apt,2,0,1,,,,1,$0.00,2,1125,,0,1,t,flexible,f,f
35605254,510307,Alexander,f,f,52.35528,4.90467,De Pijp - Rivierenbuurt,$159.00,Loft,Entire home/apt,2,1,1,,$250.00,$49.00,2,$100.00,3,15,100,0,1,f,strict_14_with_grace_period,f,f
35608139,164384890,Vincent,f,f,52.35963,4.83745,Slotervaart,$120.00,Apartment,Entire home/apt,3,2,1,,,,1,$0.00,4,5,,104,0,f,flexible,f,f
35610949,19212223,Bernadien,f,f,52.36415,4.87866,De Baarsjes - Oud-West,$210.00,Apartment,Entire home/apt,2,1,1.5,,$150.00,$50.00,1,$5.00,2,1125,100,0,2,t,flexible,f,f
35611292,89354784,Mattia,f,f,52.3436,4.90834,De Pijp - Rivierenbuurt,$90.00,Apartment,Entire home/apt,2,1,1,,,,1,$0.00,2,10,70,101,2,t,flexible,f,f
35612947,13025857,Nelson,f,f,52.37577,4.84756,Bos en Lommer,$80.00,House,Entire home/apt,2,1,1,,$0.00,$40.00,1,$0.00,2,1125,100,5,6,t,flexible,f,f
35628530,41913231,Eva,f,f,52.38068,4.84991,Bos en Lommer,$240.00,Townhouse,Entire home/apt,4,4,1,,$0.00,$50.00,1,$0.00,3,1125,100,4,4,f,strict_14_with_grace_period,f,f
35630751,2936279,Swaan,f,f,52.36742,4.86851,De Baarsjes - Oud-West,$160.00,Townhouse,Entire home/apt,3,2,1,,$100.00,$100.00,1,$80.00,2,1125,,48,1,f,flexible,f,f
35632302,251479377,Generator,f,f,52.36118,4.91849,Oud-Oost,$500.00,Hostel,Hotel room,2,1,1,,,$0.00,2,$0.00,1,1125,,350,0,t,strict_14_with_grace_period,f,f
35632344,251479377,Generator,f,f,52.3614,4.91856,Oud-Oost,$500.00,Hostel,Hotel room,4,1,1,,,$0.00,4,$0.00,1,1125,93,359,44,t,strict_14_with_grace_period,f,f
35634457,266102660,Lizzy,f,f,52.3534,4.84669,Zuid,$150.00,Apartment,Entire home/apt,4,2,1,,$250.00,$75.00,2,$25.00,2,5,100,0,1,f,flexible,f,f
35637048,1687684,Naomi,f,f,52.36038,4.94369,Oostelijk Havengebied - Indische Buurt,$200.00,Apartment,Entire home/apt,4,2,1,,$0.00,$0.00,4,$100.00,5,1111,100,0,1,f,moderate,f,f
35637851,268096872,Allianz,f,f,52.36702,4.90434,Centrum-Oost,"$1,363.00",Apartment,Entire home/apt,8,4,1,,$0.00,$0.00,1,$0.00,3,365,,319,0,t,super_strict_60,f,f
35637863,268096872,Allianz,f,f,52.36778,4.90465,Centrum-Oost,"$1,219.00",Hotel,Hotel room,30,1,2,,$0.00,$0.00,1,$0.00,3,365,,362,0,t,super_strict_60,f,f
35638186,268096872,Allianz,f,f,52.36827,4.90395,Centrum-Oost,$445.00,Apartment,Entire home/apt,4,2,1,,$0.00,$0.00,1,$0.00,3,365,,362,0,t,super_strict_60,f,f
35638368,233786102,Ana Maria,f,f,52.36284,4.9114,Centrum-Oost,$66.00,Apartment,Private room,1,1,1,,$0.00,$10.00,1,$30.00,2,1125,98,17,19,f,strict_14_with_grace_period,f,f
35638727,14874061,Jasper,f,f,52.37493,4.86022,Bos en Lommer,$275.00,Apartment,Entire home/apt,4,3,2.5,,$0.00,$75.00,1,$0.00,3,1125,96,0,5,f,strict_14_with_grace_period,f,f
35642432,268133950,Bena,f,f,52.34459,4.90409,De Pijp - Rivierenbuurt,$75.00,Apartment,Private room,2,1,1.5,,$0.00,$25.00,1,$0.00,2,1125,83,51,6,t,strict_14_with_grace_period,f,f
35642598,54956553,Ruud,f,f,52.35573,4.90982,Oud-Oost,$100.00,Apartment,Private room,1,1,1,,$0.00,$20.00,1,$0.00,1,1125,95,71,4,f,moderate,f,f
35642712,12357170,Mathilde,f,f,52.36205,4.86308,De Baarsjes - Oud-West,$150.00,Apartment,Private room,2,1,1,,$0.00,$10.00,1,$0.00,2,3,,1,0,f,moderate,f,f
35644505,7168077,Tommy,f,t,52.35166,4.91366,Oud-Oost,$180.00,Loft,Entire home/apt,2,1,1,,"$4,000.00",$50.00,1,$0.00,3,7,,0,0,f,flexible,f,f
35644565,268150489,Nelson & Lois,f,f,52.38413,4.8728,Westerpark,$175.00,Apartment,Entire home/apt,2,1,1,,$0.00,$25.00,1,$0.00,1,1125,100,0,3,f,moderate,f,f
35644860,1309885,Darshan,f,t,52.36621,4.86286,De Baarsjes - Oud-West,$175.00,House,Entire home/apt,5,3,1.5,,$350.00,$60.00,2,$10.00,1,1125,100,11,3,f,strict_14_with_grace_period,f,f
35645113,266384535,Rafick,f,f,52.37007,4.86595,De Baarsjes - Oud-West,$90.00,Apartment,Private room,2,1,1,,$0.00,$10.00,1,$0.00,2,4,86,23,10,t,flexible,f,f
35645458,24935999,Harry,f,f,52.36693,4.86644,De Baarsjes - Oud-West,$170.00,Apartment,Entire home/apt,2,1,1.5,,,,1,$0.00,1,1125,100,6,3,t,flexible,f,f
35647960,96180760,Arjan,f,f,52.37114,4.93437,Oostelijk Havengebied - Indische Buurt,$250.00,Apartment,Entire home/apt,4,2,1.5,,,,2,$100.00,2,7,,69,0,f,strict_14_with_grace_period,f,f
35659168,23242776,Tim,f,t,52.39651,4.92536,Noord-Oost,$220.00,Townhouse,Entire home/apt,5,4,1.5,,,,1,$0.00,4,14,100,31,1,f,flexible,f,f
35660665,268276788,Jj,f,f,52.37287,4.89886,Centrum-West,$499.00,Aparthotel,Entire home/apt,7,4,1.5,,$150.00,$0.00,6,$50.00,3,365,,331,0,f,strict_14_with_grace_period,f,f
35662871,73717503,Jamèl,f,f,52.35484,4.87498,Zuid,$100.00,House,Private room,2,1,2,,$200.00,$20.00,1,$0.00,1,1125,,72,0,f,flexible,f,f
35663040,268286253,Aisha,f,f,52.31655,4.96698,Bijlmer-Oost,$150.00,Apartment,Entire home/apt,4,1,1,,$0.00,$50.00,1,$0.00,2,1125,100,2,3,f,moderate,f,f
35663937,112384023,Bart,f,f,52.36561,4.85264,De Baarsjes - Oud-West,$125.00,Apartment,Entire home/apt,2,1,1,,$0.00,$30.00,1,$0.00,2,7,100,0,1,t,flexible,f,f
35664999,268276788,Jj,f,f,52.37366,4.89941,Centrum-West,$420.00,Serviced apartment,Hotel room,6,3,1.5,,$150.00,$0.00,5,$50.00,3,365,100,324,1,t,strict_14_with_grace_period,f,f
35666666,268289693,Bianca,f,f,52.35584,4.89678,De Pijp - Rivierenbuurt,$250.00,Apartment,Entire home/apt,4,2,1.5,,,,1,$0.00,4,1125,100,0,2,t,moderate,f,f
35666792,96075236,Gauthier,f,f,52.34791,4.83751,Slotervaart,$90.00,Apartment,Entire home/apt,4,2,1,,,,1,$0.00,10,1125,60,104,1,t,strict_14_with_grace_period,f,f
35667964,268276788,Jj,f,f,52.37343,4.90061,Centrum-West,$550.00,Serviced apartment,Hotel room,6,2,1.5,,$150.00,$0.00,4,$50.00,3,365,100,342,2,t,strict_14_with_grace_period,f,f
35669050,268276788,Jj,f,f,52.37356,4.89997,Centrum-West,$320.00,Serviced apartment,Entire home/apt,5,2,1.5,,$150.00,$0.00,4,$59.00,3,365,,314,0,f,strict_14_with_grace_period,f,f
35669821,268276788,Jj,f,f,52.37297,4.89859,Centrum-West,$449.00,Serviced apartment,Entire home/apt,6,4,1.5,,$150.00,$0.00,1,$0.00,3,365,100,329,1,f,strict_14_with_grace_period,f,f
35670498,268276788,Jj,f,f,52.37375,4.90004,Centrum-West,$339.00,Serviced apartment,Entire home/apt,5,2,1.5,,$150.00,$0.00,4,$59.00,3,365,80,337,1,f,strict_14_with_grace_period,f,f
35670895,268276788,Jj,f,f,52.37294,4.89907,Centrum-West,$420.00,Serviced apartment,Entire home/apt,6,3,1.5,,$150.00,$0.00,5,$50.00,3,365,100,308,1,f,strict_14_with_grace_period,f,f
35672513,12696599,Merel,f,f,52.36433,4.93375,Oostelijk Havengebied - Indische Buurt,$175.00,Apartment,Entire home/apt,4,2,1,,$250.00,$45.00,2,$25.00,2,2,93,9,6,f,moderate,f,f
35675026,72616597,Fardau,f,f,52.37085,4.93126,Centrum-Oost,$129.00,Apartment,Entire home/apt,2,1,1,,,$20.00,1,$0.00,1,1125,100,2,1,f,strict_14_with_grace_period,f,f
